[M] [H]         [N]                
[S] [W]         [F]     [W] [V]    
[J] [J]         [B]     [S] [B] [F]
[L] [F] [G]     [C]     [L] [N] [N]
[V] [Z] [D]     [P] [W] [G] [F] [Z]
[F] [D] [C] [S] [W] [M] [N] [H] [H]
[N] [N] [R] [B] [Z] [R] [T] [T] [M]
[R] [P] [W] [N] [M] [P] [R] [Q] [L]
 1   2   3   4   5   6   7   8   9 

ordmove 1 from 7 to 6
ordmove 1 from 9 to 4
ordmove 4 from 9 to 6
ordmove 1 from 2 to 3
ordmove 7 from 8 to 6
ordmove 1 from 6 to 3
ordmove 6 from 2 to 9
ordmove 1 from 2 to 9
ordmove 3 from 5 to 6
ordmove 4 from 5 to 4
ordmove 1 from 1 to 6
ordmove 8 from 9 to 4
ordmove 1 from 5 to 1
ordmove 7 from 3 to 9
ordmove 11 from 4 to 1
ordmove 1 from 9 to 3
ordmove 1 from 3 to 6
ordmove 9 from 1 to 2
ordmove 1 from 4 to 8
ordmove 1 from 8 to 2
ordmove 5 from 9 to 4
ordmove 8 from 2 to 1
ordmove 10 from 6 to 3
ordmove 5 from 4 to 3
ordmove 9 from 3 to 2
ordmove 1 from 9 to 5
ordmove 1 from 6 to 1
ordmove 4 from 1 to 8
ordmove 5 from 7 to 6
ordmove 1 from 5 to 9
ordmove 2 from 4 to 3
ordmove 13 from 6 to 1
ordmove 1 from 6 to 3
ordmove 3 from 1 to 7
ordmove 9 from 2 to 7
ordmove 2 from 4 to 6
ordmove 25 from 1 to 9
ordmove 2 from 2 to 7
ordmove 2 from 3 to 5
ordmove 1 from 6 to 5
ordmove 2 from 5 to 2
ordmove 2 from 8 to 9
ordmove 2 from 2 to 5
ordmove 23 from 9 to 5
ordmove 1 from 8 to 5
ordmove 1 from 8 to 9
ordmove 6 from 3 to 7
ordmove 3 from 5 to 7
ordmove 1 from 3 to 1
ordmove 1 from 1 to 5
ordmove 11 from 7 to 6
ordmove 9 from 6 to 2
ordmove 1 from 7 to 1
ordmove 1 from 1 to 7
ordmove 2 from 6 to 8
ordmove 8 from 2 to 3
ordmove 4 from 7 to 1
ordmove 7 from 7 to 6
ordmove 6 from 9 to 6
ordmove 1 from 1 to 5
ordmove 5 from 6 to 8
ordmove 2 from 7 to 6
ordmove 2 from 3 to 2
ordmove 24 from 5 to 8
ordmove 1 from 3 to 5
ordmove 4 from 3 to 2
ordmove 1 from 5 to 6
ordmove 31 from 8 to 6
ordmove 1 from 5 to 6
ordmove 1 from 3 to 6
ordmove 2 from 1 to 9
ordmove 2 from 9 to 6
ordmove 1 from 1 to 9
ordmove 46 from 6 to 5
ordmove 1 from 9 to 4
ordmove 35 from 5 to 1
ordmove 28 from 1 to 5
ordmove 24 from 5 to 3
ordmove 1 from 3 to 4
ordmove 1 from 6 to 3
ordmove 19 from 3 to 4
ordmove 2 from 3 to 8
ordmove 3 from 1 to 8
ordmove 4 from 2 to 1
ordmove 4 from 8 to 6
ordmove 6 from 1 to 5
ordmove 1 from 8 to 5
ordmove 3 from 4 to 1
ordmove 5 from 1 to 7
ordmove 23 from 5 to 2
ordmove 21 from 2 to 8
ordmove 6 from 8 to 2
ordmove 2 from 2 to 5
ordmove 2 from 5 to 6
ordmove 5 from 4 to 5
ordmove 6 from 6 to 7
ordmove 4 from 5 to 2
ordmove 1 from 7 to 9
ordmove 3 from 3 to 2
ordmove 1 from 5 to 2
ordmove 2 from 8 to 5
ordmove 11 from 2 to 5
ordmove 3 from 2 to 7
ordmove 13 from 7 to 4
ordmove 11 from 8 to 1
ordmove 1 from 9 to 5
ordmove 23 from 4 to 2
ordmove 1 from 4 to 9
ordmove 10 from 1 to 2
ordmove 1 from 9 to 5
ordmove 1 from 1 to 3
ordmove 2 from 8 to 6
ordmove 4 from 5 to 9
ordmove 19 from 2 to 5
ordmove 3 from 9 to 2
ordmove 28 from 5 to 7
ordmove 1 from 3 to 5
ordmove 1 from 9 to 5
ordmove 15 from 7 to 5
ordmove 2 from 6 to 4
ordmove 2 from 4 to 3
ordmove 19 from 5 to 9
ordmove 5 from 7 to 5
ordmove 8 from 7 to 8
ordmove 1 from 8 to 1
ordmove 14 from 9 to 6
ordmove 2 from 8 to 5
ordmove 1 from 3 to 8
ordmove 3 from 5 to 9
ordmove 1 from 1 to 9
ordmove 3 from 9 to 6
ordmove 8 from 6 to 5
ordmove 1 from 8 to 1
ordmove 1 from 8 to 3
ordmove 13 from 2 to 4
ordmove 4 from 9 to 8
ordmove 4 from 4 to 1
ordmove 1 from 6 to 1
ordmove 2 from 3 to 4
ordmove 2 from 1 to 7
ordmove 10 from 5 to 1
ordmove 2 from 5 to 2
ordmove 7 from 4 to 7
ordmove 6 from 6 to 7
ordmove 1 from 9 to 7
ordmove 3 from 7 to 1
ordmove 7 from 2 to 7
ordmove 1 from 6 to 3
ordmove 1 from 6 to 9
ordmove 8 from 7 to 8
ordmove 2 from 7 to 6
ordmove 8 from 7 to 9
ordmove 17 from 1 to 7
ordmove 13 from 8 to 5
ordmove 2 from 7 to 1
ordmove 2 from 6 to 3
ordmove 9 from 7 to 6
ordmove 5 from 7 to 6
ordmove 1 from 4 to 5
ordmove 3 from 5 to 9
ordmove 4 from 9 to 2
ordmove 2 from 8 to 6
ordmove 1 from 7 to 9
ordmove 4 from 9 to 1
ordmove 12 from 6 to 2
ordmove 10 from 2 to 6
ordmove 4 from 9 to 4
ordmove 6 from 1 to 6
ordmove 2 from 7 to 8
ordmove 2 from 8 to 4
ordmove 1 from 8 to 1
ordmove 8 from 4 to 7
ordmove 5 from 5 to 2
ordmove 3 from 4 to 1
ordmove 3 from 2 to 8
ordmove 2 from 8 to 4
ordmove 1 from 4 to 5
ordmove 3 from 2 to 1
ordmove 2 from 9 to 8
ordmove 11 from 6 to 5
ordmove 4 from 7 to 2
ordmove 1 from 3 to 7
ordmove 1 from 8 to 5
ordmove 8 from 6 to 4
ordmove 2 from 3 to 7
ordmove 1 from 6 to 2
ordmove 15 from 5 to 3
ordmove 15 from 3 to 5
ordmove 5 from 1 to 6
ordmove 12 from 2 to 8
ordmove 4 from 7 to 3
ordmove 4 from 6 to 3
ordmove 7 from 4 to 3
ordmove 8 from 3 to 8
ordmove 1 from 6 to 8
ordmove 10 from 5 to 3
ordmove 8 from 5 to 4
ordmove 15 from 3 to 9
ordmove 1 from 1 to 3
ordmove 9 from 4 to 9
